0	15	14	15
1	18	22	16
2	17	17	18
3	3	3	4
3	5	0	2
2	6	4	6
1	4	3	4
1	4	4	3
2	5	10	10
3	4	6	9
3	3	2	3
2	3	3	1
1	2	2	1
0	11	10	8
